limit,epsilon,minpts,sf_time,df_time,ddb_time,result_time
10k,100m,9,SF:0.085s,DF:0.215s,DDB:11.160s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.085s	DF : 10663.715s	DDF : 10424.160s]
10k,100m,12,SF:0.062s,DF:0.161s,DDB:10.047s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.062s	DF : 10027.661s	DDF : 9694.047s]
10k,100m,15,SF:0.064s,DF:0.163s,DDB:10.282s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.064s	DF : 9474.163s	DDF : 9191.782s]
10k,100m,18,SF:0.058s,DF:0.155s,DDB:9.401s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.058s	DF : 9046.655s	DDF : 8670.401s]
10k,100m,21,SF:0.063s,DF:0.169s,DDB:9.771s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.063s	DF : 8281.669s	DDF : 7974.771s]
10k,200m,9,SF:0.065s,DF:0.187s,DDB:16.549s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.065s	DF : 12144.187s	DDF : 11953.549s]
10k,200m,12,SF:0.061s,DF:0.169s,DDB:16.050s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.061s	DF : 11554.669s	DDF : 11383.050s]
10k,200m,15,SF:0.060s,DF:0.166s,DDB:15.938s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.060s	DF : 11178.166s	DDF : 11000.438s]
10k,200m,18,SF:0.061s,DF:0.208s,DDB:15.538s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.061s	DF : 10765.708s	DDF : 10643.038s]
10k,200m,21,SF:0.063s,DF:0.168s,DDB:15.193s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.063s	DF : 10426.668s	DDF : 10290.193s]
10k,300m,9,SF:0.064s,DF:0.183s,DDB:23.014s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.064s	DF : 13029.183s	DDF : 12753.514s]
10k,300m,12,SF:0.070s,DF:0.196s,DDB:22.228s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.070s	DF : 12561.196s	DDF : 12410.728s]
10k,300m,15,SF:0.063s,DF:0.183s,DDB:21.886s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.063s	DF : 12091.683s	DDF : 11928.886s]
10k,300m,18,SF:0.064s,DF:0.187s,DDB:21.875s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.064s	DF : 11727.187s	DDF : 11471.375s]
10k,300m,21,SF:0.061s,DF:0.180s,DDB:21.491s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.061s	DF : 11301.180s	DDF : 11196.491s]
10k,400m,9,SF:0.066s,DF:0.235s,DDB:29.511s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.066s	DF : 13675.735s	DDF : 13496.511s]
10k,400m,12,SF:0.064s,DF:0.188s,DDB:29.511s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.064s	DF : 13351.688s	DDF : 13148.511s]
10k,400m,15,SF:0.074s,DF:0.243s,DDB:30.643s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.074s	DF : 12889.743s	DDF : 12713.143s]
10k,400m,18,SF:0.063s,DF:0.182s,DDB:28.741s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.063s	DF : 12520.682s	DDF : 12372.241s]
10k,400m,21,SF:0.064s,DF:0.183s,DDB:28.738s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.064s	DF : 12139.683s	DDF : 11982.238s]
10k,500m,9,SF:0.065s,DF:0.206s,DDB:34.342s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.065s	DF : 14017.706s	DDF : 13877.842s]
10k,500m,12,SF:0.065s,DF:0.197s,DDB:35.329s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.065s	DF : 13719.197s	DDF : 13575.829s]
10k,500m,15,SF:0.116s,DF:0.198s,DDB:33.524s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.116s	DF : 13396.698s	DDF : 13188.524s]
10k,500m,18,SF:0.067s,DF:0.188s,DDB:33.610s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.067s	DF : 13164.188s	DDF : 13062.610s]
10k,500m,21,SF:0.076s,DF:0.201s,DDB:33.299s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 15000.076s	DF : 12828.201s	DDF : 12646.799s]
20k,100m,9,SF:0.116s,DF:0.372s,DDB:15.918s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.116s	DF : 20578.872s	DDF : 20129.418s]
20k,100m,12,SF:0.120s,DF:0.338s,DDB:15.520s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.120s	DF : 19146.338s	DDF : 18687.520s]
20k,100m,15,SF:0.114s,DF:0.319s,DDB:16.033s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.114s	DF : 18114.319s	DDF : 17600.533s]
20k,100m,18,SF:0.160s,DF:0.357s,DDB:17.062s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.160s	DF : 17191.857s	DDF : 16569.562s]
20k,100m,21,SF:0.120s,DF:0.339s,DDB:14.646s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.120s	DF : 15870.339s	DDF : 15463.146s]
20k,200m,9,SF:0.125s,DF:0.360s,DDB:26.265s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.125s	DF : 23572.860s	DDF : 23025.765s]
20k,200m,12,SF:0.126s,DF:0.344s,DDB:26.606s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.126s	DF : 22183.844s	DDF : 21809.606s]
20k,200m,15,SF:0.127s,DF:0.382s,DDB:26.476s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.127s	DF : 21319.882s	DDF : 20912.476s]
20k,200m,18,SF:0.125s,DF:0.327s,DDB:26.391s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.125s	DF : 20370.327s	DDF : 20045.391s]
20k,200m,21,SF:0.124s,DF:0.335s,DDB:25.600s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.124s	DF : 19501.835s	DDF : 19281.100s]
20k,300m,9,SF:0.133s,DF:0.384s,DDB:36.653s,RESULT_TIME(AVERAGE PREDICT TIME IS 1.5s) [SF : 30000.133s	DF : 25276.884s	DDF : 24776.153s]
